Article Number, Topic Feature, Tf-Idf, Sentence Position Feature, Class
4, 0.0, 1.1363676301781982, 0.20833333333333334, 0
4, 0.0, 0.4948766670442306, 0.25, 0
4, 0.0, 0.22870159069441373, 0.2916666666666667, 0
4, 0.0, 0.42603736343436466, 0.3333333333333333, 0
4, 0.0, 1.0593512767826485, 0.375, 0
4, 0.0, 0.18557665869782547, 0.4166666666666667, 1
4, 0.0, 0.4667343093530472, 0.4583333333333333, 0
4, 0.0, 0.28546739305678626, 0.5, 0
4, 0.0, 1.136367630178198, 0.5416666666666666, 0
4, 0.0, 0.48361652438149144, 0.5833333333333334, 0
4, 0.0, 0.4234126105680506, 0.625, 0
4, 0.0, 0.4587526589817036, 0.6666666666666666, 0
4, 0.0, 0.6259460801357611, 0.7083333333333334, 0
4, 0.0, 0.5569208954194278, 0.75, 0
4, 0.0, 0.20917025861752095, 0.7916666666666666, 1
4, 0.0, 0.16489307378293572, 0.8333333333333334, 1
4, 0.0, 0.47674974404228304, 0.875, 0
4, 0.0, 0.5388828550162305, 0.9166666666666666, 0
4, 0.0, 0.9678002527269728, 0.9583333333333334, 0
4, 0.1111111111111111, 0.19800058366923026, 1.0, 1
5, 0.6666666666666666, 0.2559975011352023, 0.6923076923076923, 1
5, 0.36363636363636365, 0.12724683549609334, 0.8461538461538461, 1
5, 0.06666666666666667, 0.059501528468448174, 0.6923076923076923, 1
5, 0.125, 0.22130448748431877, 0.5384615384615384, 1
5, 0.0, 0.4852639842699095, 0.38461538461538464, 0
5, 0.2857142857142857, 0.2687174236622185, 0.23076923076923078, 0
5, 0.0, 0.14472736590945437, 0.07692307692307693, 0
5, 0.0, 0.554593941795391, 0.23076923076923078, 0
5, 0.0, 0.3889833828791481, 0.38461538461538464, 0
5, 0.0, 0.17679648369349266, 0.5384615384615384, 1
5, 0.07407407407407407, 0.06290332997149349, 1.0, 0
6, 0.2222222222222222, 0.18905896905501685, 1.0, 1
6, 0.0, 0.35151079183860323, 0.75, 0
6, 0.0, 0.34657359027997264, 0.5, 0
6, 0.1111111111111111, 0.19761634165452235, 0.25, 0
6, 0.0, 0.23104906018664836, 0.25, 0
6, 0.0, 0.055434658613271626, 0.5, 1
6, 0.05263157894736842, 0.08929914376550367, 0.75, 1
6, 0.0, 0.19181382771321698, 1.0, 0
7, 0.3125, 0.11916460666914752, 1.0, 1
7, 0.1, 0.1929682150085949, 0.8181818181818182, 0
7, 0.11764705882352941, 0.10525649802876169, 0.6363636363636364, 1
7, 0.125, 0.18959230220517387, 0.45454545454545453, 0
7, 0.0, 0.19172557165648046, 0.2727272727272727, 0
7, 0.0, 0.5994738181995927, 0.09090909090909091, 0
7, 0.0, 0.6790872509792263, 0.2727272727272727, 0
7, 0.0, 0.14445427779157857, 0.45454545454545453, 0
7, 0.0, 0.31426474588711634, 0.6363636363636364, 0
7, 0.0, 0.14103965463119053, 0.8181818181818182, 1
7, 0.0, 0.12105009038678191, 1.0, 1
8, 0.17647058823529413, 0.10173678558176306, 1.0, 1
8, 0.18181818181818182, 0.18264613125426463, 0.8181818181818182, 0
8, 0.16666666666666666, 0.09903551968635706, 0.6363636363636364, 1
8, 0.11764705882352941, 0.09512937207005222, 0.45454545454545453, 0
8, 0.05263157894736842, 0.10320773510642063, 0.2727272727272727, 0
8, 0.0, 0.17145215366297398, 0.09090909090909091, 0
8, 0.0, 0.13772831860790402, 0.2727272727272727, 0
8, 0.047619047619047616, 0.09470771167021046, 0.45454545454545453, 1
8, 0.0, 0.23285805547423766, 0.6363636363636364, 1
8, 0.0, 0.2120636400574393, 0.8181818181818182, 0
8, 0.0, 0.434532735098639, 1.0, 0
9, 0.4444444444444444, 0.08824696664443561, 1.0, 1
